Age Group,Number of Records,InfluenzaDisease,InfluenzaDiseaseCount,Week,Year
25-64 yr,1,B (Victoria Lineage),0,43,2017
25-64 yr,1,B (Victoria Lineage),0,44,2017
25-64 yr,1,B (Victoria Lineage),2,45,2017
25-64 yr,1,B (Victoria Lineage),1,46,2017
25-64 yr,1,B (Victoria Lineage),3,47,2017
25-64 yr,1,B (Victoria Lineage),1,48,2017
25-64 yr,1,B (Victoria Lineage),0,49,2017
25-64 yr,1,B (Victoria Lineage),6,50,2017
25-64 yr,1,B (Victoria Lineage),9,51,2017
25-64 yr,1,B (Victoria Lineage),7,52,2017
25-64 yr,1,B (Victoria Lineage),8,1,2018
25-64 yr,1,B (Victoria Lineage),8,2,2018
25-64 yr,1,B (Victoria Lineage),9,3,2018
25-64 yr,1,B (Victoria Lineage),11,4,2018
25-64 yr,1,B (Victoria Lineage),8,5,2018
25-64 yr,1,B (Victoria Lineage),12,6,2018
25-64 yr,1,B (Victoria Lineage),8,7,2018
25-64 yr,1,B (Victoria Lineage),7,8,2018
65+ yr,1,B (Victoria Lineage),0,40,2017
65+ yr,1,B (Victoria Lineage),0,41,2017
65+ yr,1,B (Victoria Lineage),0,42,2017
65+ yr,1,B (Victoria Lineage),0,43,2017
65+ yr,1,B (Victoria Lineage),0,44,2017
65+ yr,1,B (Victoria Lineage),0,45,2017
65+ yr,1,B (Victoria Lineage),1,46,2017
65+ yr,1,B (Victoria Lineage),0,47,2017
65+ yr,1,B (Victoria Lineage),0,48,2017
65+ yr,1,B (Victoria Lineage),3,49,2017
65+ yr,1,B (Victoria Lineage),1,50,2017
65+ yr,1,B (Victoria Lineage),0,51,2017
65+ yr,1,B (Victoria Lineage),2,52,2017
65+ yr,1,B (Victoria Lineage),7,1,2018
65+ yr,1,B (Victoria Lineage),6,2,2018
65+ yr,1,B (Victoria Lineage),2,3,2018
65+ yr,1,B (Victoria Lineage),2,4,2018
65+ yr,1,B (Victoria Lineage),1,5,2018
65+ yr,1,B (Victoria Lineage),6,6,2018
65+ yr,1,B (Victoria Lineage),2,7,2018
65+ yr,1,B (Victoria Lineage),2,8,2018
0-4 yr,1,B (Yamagata Lineage),0,40,2017
0-4 yr,1,B (Yamagata Lineage),1,41,2017
0-4 yr,1,B (Yamagata Lineage),1,42,2017
0-4 yr,1,B (Yamagata Lineage),0,43,2017
